,Unnamed: 0,number_of_dialog,start_time,end_time,dialog,source,batch_id
63,63,65,"00:09:11,765","00:09:15,852",Everything you do right now has something to do with Derek.,American History X (1998).csv,1324088685
64,64,66,"00:09:15,894","00:09:18,104","I followed directions. I wrote an ""A"" Paper.",American History X (1998).csv,1324088685
65,65,67,"00:09:18,146","00:09:20,690","""Mein Kampf""?",American History X (1998).csv,1324088685
66,66,68,"00:09:22,067","00:09:23,693",I should expel you.,American History X (1998).csv,1324088685
67,67,69,"00:09:23,735","00:09:26,404",Go ahead. You don't think I could handle it?,American History X (1998).csv,1324088685
68,68,70,"00:09:26,446","00:09:28,657",No. I think the street would kill you.,American History X (1998).csv,1324088685
69,69,71,"00:09:28,698","00:09:30,742",Your rhetoric and your propaganda...,American History X (1998).csv,1324088685
70,70,72,"00:09:30,784","00:09:32,911",aren't going to save you out there.,American History X (1998).csv,1324088685
71,71,73,"00:09:34,287","00:09:35,622",So here's the drill.,American History X (1998).csv,1324088685
72,72,74,"00:09:36,790","00:09:39,000",I'm your history teacher from now on.,American History X (1998).csv,1324088685
73,73,75,"00:09:39,042","00:09:42,754",We will discuss current events.,American History X (1998).csv,1324088685
74,74,76,"00:09:42,796","00:09:46,091",We will call this class...,American History X (1998).csv,1324088685
75,75,77,"00:09:46,132","00:09:49,260",American History X.,American History X (1998).csv,1324088685
76,76,78,"00:09:49,302","00:09:52,263",We meet once a day.,American History X (1998).csv,1324088685
77,77,79,"00:09:52,305","00:09:54,606",All right. Your first assignment...,American History X (1998).csv,1324088685
78,78,80,"00:09:54,641","00:09:57,108",is to prepare for me a new paper due tomorrow.,American History X (1998).csv,1324088685
79,79,81_82,"00:09:57,143","00:10:12,742","Come on, Sweeney. It took me a week to read ""Mein Kampf."" What do you want me to do it on?",American History X (1998).csv,1324088685
80,80,83,"00:10:12,784","00:10:15,126",Your brother.,American History X (1998).csv,1324088686
81,81,84,"00:10:15,161","00:10:17,288","Oh, God, man. Please tell me you're joking.",American History X (1998).csv,1324088686
82,82,85,"00:10:17,330","00:10:19,708",No. I'm not kidding.,American History X (1998).csv,1324088686
83,83,86,"00:10:19,749","00:10:23,294",I want you to analyze and interpret all the events...,American History X (1998).csv,1324088686
