,dialog
348,We've washed ourselves in nigger's blood...
349,"and all the mongrels, too."
350,We're taking down the Zog machine...
351,Jew by Jew by Jew.
352,The white man marches on.
353,You think our friend was behind that?
354,I don't even care.
355,I'm gonna take care of that tonight.
356,My sweet kids. My baby boy.
357,"God, what's with the love fest, you guys?"
358,No. He'll do it.
359,I'll make sure he does it.
360,I'll get it.
361,I came to see the man.
362, Can you fit through the door?
363, Fuck you!
364,"What's up, Dan? How you doing?"
365, Where's Derek?
366, He's on the phone.
367,"Come out, you free motherfucker!"
368,Where the fuck are you?
369,Hang on. Give me a minute.
370,I'll be out in a minute.
371,I'll be careful.
372,I'm not gonna stay in my room the rest of my life.
373,Hold on.
374,Hey. What the fuck is Seth doing here?
375,Did you invite him over?
376,No. He always comes over here.
377,"Danny, give me a minute."
378,Just give me one minute.
379,"Are you still here, Goodyear?"
380,"You calling me a blimp, you fucking Democrat?"
381,When was the last time you were actually able to see your feet?
382,"Come in here, Danny."
383,Are you going to Cam's party tonight?
384,Is Davina's ass watertight?
385,"You're fucking sick, man."
386,"All right, relax."
387,Let me ask you a few questions.
388,I'm not in the mood.
389,I got homework.
390,"Tell me some of the shit you've learned, fuckass..."
391,before I pistolwhip you.
392,"OK. I believe in death, destruction..."
393,"chaos, filth, and greed."
394,"Cut the shit, Dan. Come on."
395,Tell me what I want to hear.
396,You mean that shit about your mother?
397,"You want to get fucking beaten, Danny?"
398,I'm not fucking talking to you.
399,Shut up.
400,"Look, you gotta let me do this my own way, all right?"
401,I'll take care of it.
402,"Who do you hate, Danny?"
403,I hate anyone that isn't white Protestant.
404,Why?
405,They're a burden to the advancement of the white race.
406,Some are all right.
407,"None of them are fucking all right, OK?"
408,They're all a bunch of fucking freeloaders.
409,We don't know 'em.
410,We don't want to know 'em.
411,They're the fucking enemy.
412,What don't you like about them...
413,and say it with some fucking conviction.
414,I hate the fact it's cool to be black these days.
415,Good.
416,I hate this hiphop influence on white fucking suburbia.
417,Good.
418,I hate Tabitha Soren and her Zionist MTV fucking pigs...
419,telling us we should get along.
420,"Save the rhetorical bullshit, Hillary Rodham Clinton..."
421,'cause it ain't gonna fucking happen.
422,That's some of the best shit I've ever heard.
423,"I feel sorry for you, Danny."
424,"You don't believe any of that shit, right?"
425,Shut up.
426,"No. Get out of the house now, you piece of shit."
427,"Is that any way to talk to a guest, a friend?"
428,"Derek hates you, and you don't realize it."
429,How do you know who I hate?
430,Back from the dead.
431,God bless Jesus Christ.
432,"God, I think you lost weight."
433,I can get my arms almost all the way around you.
434,"Fifty fucking pounds, man."
435,Look at this hair. Holy shit.
436,I told him it's gotta go.
437,Grab your jacket.
438,Let's get the fuck out of here.
439,I want to talk to him.
440,One second.
441,"Hey, listen. Did you pull some shit in school today?"
442, Just the usual.
443, This kid is awesome as hell.
444,"Did you turn in a paper on ""Mein Kampf""?"
445, Sweeney shit his pants.
446," He did, man."
447,Was that your idea or did Cameron put you up to that?
448,No. I thought it would be cool.
449,How'd you know?
450,It doesn't matter how I knew.
451,This kid is smart as hell.
452,Was that Sweeney on the phone?
453,Sweeney called and told me.
454,"God, I hate that fucking nigger, man."
455,He's gotta get a fucking life.
456,Sweeney's a good teacher.
457,Sweeney is a nigger on a power trip.
458,That's what he was like when we were there...
459,and that's how he is now.
460,It'll never change.
461,Fuck that nigger!
462," Seth, go away."
463, Are you kidding?
464,Nope. Wait in Danny's room.
465,I want to talk to my brother.
466,I've been here 15 minutes.
467,I'm starving.
468,"Come here. Seriously, look."
469,Forget this yahoo.
470,He kills bugs for a living.
471,You don't want to be like that.
472,I'm serious. It's not funny.
473,Sweeney is a good teacher.
474,You can learn a lot from him.
475,Don't go fuck it up with small fry shit like that.
476,You don't understand.
477,You got to see the bullshit paper he's making me write.
478,He told me all about it.
479,I don't care.
480,You do anything he tells you to do. I mean it.
481,I don't want you getting in trouble in school...
482,"trying to impress me, taking this shit in there."
483,Do you understand what I'm saying?
484,"Yeah, I guess, but, I mean, I thought you'd be happy."
485,"Well, I'm not."
486,Listen to that.
487,"Yeah, I know."
488,It's been getting worse.
489,Don't worry about it.
490,I'll talk to you about this later.
491,She's coughing her lungs out...
492,and you're blowing this in her face all day.
493,I'm putting it out.
494,"Hey, come on."
495,I want to talk to you.
496,"Mommy, are you OK?"
497,Put that out.
498,I was just yelling at him for blowing smoke in your face.
499,"Nice thing to come home to, huh?"
500,You all right?
501,You all right?
502,"Look, you got to take it easy."
503,You got to get some rest.
504,"Take Danny's and my room, and we'll hit the couch."
505,I've been on the couch for ages.
506,The couch is fine.
507,"No, it's not fine."
508,This is terrible.
509,We can't live like this.
510,We gotta get out of here.
511,Can I go with you?
512,Yeah.
513,We all gotta get out of here.
514, I could drop out and get a job.
515, Absolutely not.
516,You got to finish.
517,I'll work something out.
518,"Derek, can we please go eat?"
519,I'm fucking starving here.
520,Go wait in the living room.
521,I want him out of my house.
522,I know. Look.
523,He's an idiot.
524,He's always been an idiot.
525,He can't help it.
526,I got to do that paper.
527,I'll catch up with you later tonight.
528,Not at Cameron's. I need you to stay away from there.
529, We were going to hang.
530, I'll explain it later.
531,"I just need you to stay away from the party, all right?"
532,Whatever.
533,Promise me you'll stay away from that party tonight.
534,"I'm not fucking 14 anymore, all right?"
535,Whatever.
536,God!
537,"Come on, let's go."
538,Where are you parked?
539,Out back.
540,"Yeah, that's the whole bunch."
541,It didn't take long for Derek to make a name for himself...
542,and Cameron knew just how to use it.
543,You don't want to stick around?
544,"You know I'd love to, but I got to be careful."
545,"Yeah, I know."
546,I'll see you back at the house.
547,Good luck.
548,"He sent Derek to the kids, to the frustrated ones..."
549,the ones who were sick of getting their asses kicked...
550,by black and Mexican gangs.
551,"""Don't just be some punk."
552,"Be part of something."" All right, let's go."
553,Pull it together.
554,And everybody ate it up.
555,They did whatever Derek told them to.
556,Let's go. We're not here to fucking socialize.
557,Shut the fuck up.
558,"Yeah, man."
559,You want a little toke?
560,Go ahead.
561," Curtis, what is that?"
562," Come on, Derek."
563,Weed is for niggers.
564,Put that away right now.
565,Jesus fucking Christ.
566,Have a little selfrespect.
567,"All right, listen up."
568,We need to open our eyes.
569,There's over two million illegal immigrants...
570,bedding down in this state tonight.
571,This state spent three billion dollars last year...
572,on services for those people who had no right to be here.
573,Three billion dollars.
574,$400 million just to lock up illegal immigrant criminals...
575,who only got into this country because the INS decided...
576,it's not worth the effort to screen for convicted felons.
577,Our government doesn't give a shit.
578,"Our border policy is a joke, so is anybody surprised..."
579,that south of the border they're laughing at us?
580,Laughing at our laws?
581,"Every night, thousands of these parasites..."
582,stream across the border like some fucking pi ata exploded.
583,Don't laugh.
584,There's nothing funny here.
585,This is about your life and mine.
586,"It's about decent, hardworking Americans..."
587,falling through the cracks and getting the shaft...
588,because their government cares more about the rights...
589,of a bunch of people who aren't even citizens.
590,On the Statue of Liberty it says...
591,"""Give me your tired, your hungry, your poor."" Well, it's Americans who are tired and hungry and poor."
592,Until you take care of that...
593,"close the fucking book, because we're losing."
594,We're losing our right to pursue our destiny.
595,We're losing our freedom so a bunch of fucking foreigners...
596,can come in here and exploit our country.
597,And this isn't something that's going on far away.
598,This isn't happening places we can't do anything about it.
599,It's happening here.
600,Right in our neighborhood.
601,Right in that building behind you.
602,Archie Miller ran that grocery store since we were kids here.
603,Dave worked there.
604,Mike worked there.
605,"He went under, and now some fucking Korean owns it..."
606,who fired these guys and is making a killing...
607,because he hired I see this shit going on...
608,and I don't see anybody doing anything about it...
609,and it fucking pisses me off.
610,So look around you.
611,This isn't our fucking neighborhood.
612,It's a battlefield.
613,We're on a battlefield tonight.
614,Make a decision.
615,Are we going to stand on the sidelines?
616,Quietly standing there while our country gets raped?
617,Are we going to ante up and do something about it?
618,You're goddamn right.
619,Come here!
620,Don't you know it's illegal...
621,"to hire fucking border jumpers, you nip bastard?"
622,"Hey, sweetheart."
623,No. You don't need this.
624,We're not going to hurt you.
625,"Please, please! No!"
626,You fucking spic!
627, No! Please!
628, This bitch deserves it.
629,This bitch stinks. Smells like fish and chips and guacamole.
630,Here we go.
631,Goddamn!
632,"Get the fuck off me, motherfucker!"
633,Viva la Mexico!
634,"Have a fucking bean, you fucking beaner!"
635,Get some of that in there.
636,Throw it on.
637,That's a great color on you.
638,Now you can get a white woman's job.
639,"A little better than this one, huh?"
640,"Yeah, white."
641,Then you'll move up in the world.
642,Asshole!
643,Let's go!
644,Everybody out!
645,Now! Now!
646,"All right, let's go!"
647,Come on!
648,"Come on, let's go."
649,"No green card, no fucking work."
650,Comprende?
651,Come on!
652,We're fucking going! Come on!
653,"Dad was gone, but things were almost normal again."
654,Derek had a good job.
655,Mom was starting to live a little.
656,"Everyone was feeling so good, we just didn't see it coming."
657,Maybe we should've.
658,The irony is that most of the stores...
659,destroyed during the riots were owned by black people.
660,"That's stupid, though."
661,Why trash your own neighborhood?
662,"Well, that's my point."
663,It's an irrational act.
664,It's like an expression of rage...
665,by people who feel neglected and turned away by the system.
666,It's like we had in Watts or the riots in Chicago in '68.
667,I don't buy that.
668,Calling a riot an irrational expression of rage.
669,That's such a copout.
670,It's opportunism at its worst.
671,It's people grabbing any excuse they can find...
672,"to go and loot a store, nothing more."
673,The fact that these people ripped off the stores...
674,"in their own communities, all that reflects..."
675,is that they have no respect for the law at all...
676,and certainly no concept of community...
677,or civic responsibility.
678,Now wait a minute.
679,"White people commit crimes against white people, too."
680,"Yeah, but they're not offing each other in record numbers."
681,"Look at the statistics, for Christ's sake."
682,One in every three black males...
683,is in some phase of the correctional system.
684,Is that a coincidence...
685,or do these people have a racial commitment to crime?
686,Not only that.
687,They're proud of it.
688,Maybe it says something about prejudice...
689,in the judicial system.
690,If you want to talk about criminal statistics...
691,take a look at the social inequalities that produce them.
692,That's exactly what I hate.
693,You're taking one thing and calling it something else...
694,and just alleviating the responsibility...
695,these people have for their own actions.
696,"It's like saying, it's not a riot, it's rage."
697,"It's not crime, it's poverty."
698,That's just nonsense.
699,It's exactly what happened in this trial...
700,because the media twisted things around...
701,so people got all focused on these cops...
702,and whether or not they were going to get convicted...
703,and whether Rodney King's civil rights had been violated.
704,Everybody lost sight of old Rodney King himself.
705,The guy's a multiple felon by his own admission.
706,He's high as a goddamn kite...
707,driving 120 miles an hour down the highway.
708,He gets pulled over by a bunch of cops...
709,and he attacks them.
710,He attacked police officers.
711,"That's the bottom line, and he walked."
712,And there's some yahoo there with a video camera...
713,who turned it on halfway through...
714,so that all we see is them hitting him.
715,You got Powell and Koon cracking him with billy clubs...
716,and Briseno's kicking him in the back of the skull...
717,"so it looks severe, you know?"
718,"People are going, ""Oh, this poor guy."" This poor guy who attacked four cops..."
719,and those cops end up on the stand...
720,defending themselves for using standard textbook procedures.
721,I don't think the tapes showed that at all.
722,You didn't think so?
723,And you're an authority?
724,"Murray, what do you think?"
725,I did think the police used their clubs rather excessively.
726,Who are you to say what's excessive?
727,I think it was totally appropriate.
728,They're in a better position to make that call than you are.
729,"We, as society, grant cops a certain amount of authority..."
730,"to make those calls, because we acknowledge..."
731,that their job is difficult and dangerous.
732,Very few people respect that and respect that authority.
733,Look who's talking about respectMr. Junior KKK.
734,What?
735,You want to go to college?
736,Learn to listen.
737,I didn't say I respect the laws.
738,I acknowledge a cop's authority.
739,I don't respect laws that let Rodney King back on the street.
740,"Second, I am not a member of a lowrent..."
741,disorganized bunch of rednecks like the fucking KKK. Please.
742,So take your head out of your ass.
743,You've gotten off the point.
744,I had a point.
745,That wasn't even the point.
746,Do you have one?
747,What is your point?
748,"All right, think about this."
749,If Danny was walking across the street that night...
750,and Rodney King plowed into him Can we drop this Rodney King thing?
751,Who would like some dessert?
752,We're having a discussion.
753,"We're having a nice discussion, right?"
754,If Rodney King had been driving along...
755,hopped up on PCP and had killed Danny...
756,"you'd be singing a different tune I didn't see him hit anybody, and neither did you."
757,"He didn't happen to kill anybody, thank God."
758,"Keep it down, OK?"
759,Ally's sleeping.
760,If that fucking monkey had run some kid over...
761,everybody would have a very different opinion.
762,They'd be focused on Rodney King and not on these officers.
763,"But instead, he just attacked a few cops..."
764,"so, suddenly, it's Hands Across America..."
765,for this fucking total son of a bitch.
766,It blows my mind.
767,We're so hung up on this notion that we have some obligation...
768,to help this struggling black man.
769,Cut him some slack until he can overcome...
770,these historical injustices.
771,It's crap. This stuff just perpetuates it...
772,all this liberal nonsense.
773,Everyone's looking the other way...
774,while our country rots from the inside out.
775,"I mean, Christ, Lincoln freed the slaves 130 years ago."
776,How long does it take to get your act together?
777,"Jews have been persecuted for over 5,000 years."
778,Are you saying it's wrong to feel sensitive...
779,about antiSemitism?
780,"Oh, forget that."
781,"I'm with you. I'm with you all the way, baby."
782,I'm so sick of these liberal hypocrites.
783,Here we go again.
784,I love this part.
785,This is great.
786,Look how they scapegoated Chief Gates.
787,Think they would've come down that hard on Willie Williams?
788,No way. That videotape was a setup to get rid of Gates.
789, Can I be excused?
790, No. Don't interrupt.
791,Excuse me. I was talking.
792,I listened to you.
793, Who do you think you are?
794, She's making a point.
795,"Davina, sit down."
796,Be quiet! Shut up! Sit down!
797," Derek, calm down."
798, Don't tell him to shut up!
799,Sit your ass down. No.
800,Sit down. Shut your mouth.
801,Move! Goddamn it! Move!
802,Shut your mouth and give my girlfriend respect.
803,"Derek, what are you trying to prove?"
804,"Murray, stay out of it!"
805,Where do you think you're going?
806,"Derek, let her go!"
807,"You need to learn some fucking manners, Davina!"
808,Shut your fucking mouth!
809,Stop!
810,She can't breathe!
811,Let her go!
812,You going to apologize?
813,You're a fucking asshole.
814,I hate you!
815,What are you doing?
816,This is your family.
817,Right.
818,"My family, so you know what?"
819,I don't give two shits about you or what you think.
820,You're not a part of it.
821, That has nothing to do with it.
822, It doesn't?
823,You don't think I see what you're doing?
824,You think I'll sit here and smile...
825,while some fucking kike tries to fuck my mother?
826,It's never going to happen.
827,Fucking forget it.
828,Not while I'm in this family.
829,I will fucking cut your Shylock nose off...
830,and stick it up your ass before I let that happen.
831,Coming in here and poisoning my family's dinner...
832,"with your Jewish, niggerloving, hippie bullshit."
833,Fuck you. Fuck you.
834,"Yeah, walk out."
835,Asshole. Fucking cabalareading motherfucker.
836,Get out of my house.
837,You see this?
838,That means not welcome.
839,What did I do?
840,You disgust me.
841,"Bring him to our table, primping your hair and your dress."
842,What did I do?
843,You're all tarted up.
844,How could you bring him to my father's table?
845,How could you go from Dad to that? Aren't you ashamed?
846,I'm ashamed that you came out of my body!
847,Go run to your fucking kike!
848,Run to him!
849,It's OK.
850,"I'm proud of you, baby."
851,"I'm so sorry, Doris."
852,I really am.
853,He's gone.
854,He's just a boy without a father.
855,"Doris, you don't know the world your children are living in."
856,Goodbye.
857,"Hey, you all right?"
858," Take this, you fucking dick!"
859, No. Come here.
860, Fuck you!
861, Calm down.
862, Let go of me!
863, Calm down.
864,"Let me go, God damn it!"
865, Fuck you!
866, I'm sorry.
867,I would never hurt you.
868,You know that.
869,I screwed up. I lost control.
870,It's not you.
871,I'm sorry.
872,I'd never hurt you guys.
873,You know that.
874,I'd do anything for you.
875,I don't believe you.
876,"I trust you, Derek."
877,What are you doing out of bed?
878,Want a plane ride?
879, Yeah.
880, Going for takeoff.
881,"Oh, no, don't crash."
882,Better go to Mom.
883,She's a crazy flier.
884,"Kiss Mom. Oh, yeah."
885, You don't feel too hot.
886, No. It's my chest.
887, What are you up to?
888, I'm just thinking.
889,Yeah? There's a lot of that going around.
890,I don't even know how we got here sometimes.
891,"I feel like I let you down, only I didn't know when it happened."
892,"Mom, it's OK."
893,It's cold in here.
894,No wonder you're sick.
895,You don't get sick from cold.
896,You get sick from germs.
897,No. You get sick from smoking.
898,You ought to quit.
899,It's not good for you.
900,What are you looking at me like that for?
901,When are you going to let that beautiful hair grow back?
902,The day you quit smoking.
903,Deal.
904,I'd better get Ally to bed.
905,You say good night to Mom?
906,Then you have to go to bed.
907,Come on.
908," Good night, Mama."
909," Good night, baby."
910,I go back to that night again and again in my mind.
911,I try to stop it from happening.
912,I want you out of this house.
913,That's fine.
914,I'll be gone in the morning.
915,He can move in with me.
916,"In my mind, I imagine what would've happened..."
917,if I hadn't gone to that room and told him.
918,Get down!
919,"No, Derek!"
920,"Help, Mommy!"
921,"Nigger, you just fucked with the wrong bull. Come here!"
922,Damn!
923,Should've learned your place on the fucking basketball court...
924,but you fucking monkeys never get the message!
925,"My father gave me that truck, you motherfucker!"
926,You ever shoot at firemen?
927,You shoot at my family?
928,"I'm going to teach you a real lesson now, motherfucker."
929,Put your fucking mouth on the curb.
930,"Hold on, man."
931,Put it on the curb right now!
932,That's it.
933,"Derek, no!"
934,Now say good night.
935,Fucker.
936,Drop your weapon!
937,Put your weapon on the ground!
938,Put your hands up!
939,I said get your hands up!
940,Now turn around!
941,Put your hands behind your head!
942,Get down on your knees right now!
943,It's all right.
944,Let's go.
945, Come on.
946, No.
947,She ain't gonna open the door?
948,Someone right fucking there looking at us. Hello?
949,"Danny, it's for you."
950,Be right there.
951,"Open the door, Danny."
952,It's fucking freezing!
953,"Danny, I'm gonna be sick!"
954,"Come on, Danny!"
955,I'm gonna go get some beers.
956,"Hey, what a party, fatso?"
957,"I'm not fat, asshole!"
958,I'm husky!
959,"What the fuck's up, Seth?"
960,"Drink up, Danny, before your brother sees you."
961,"Holy fuck, he's here!"
962,"Yeah, he's fucking here."
963,Go pay your respects.
964,"Fuck you, Seth!"
965,"Let's go talk to Cameron, Danny."
966, Father Vinyard?
967, How's it going?
968,"I'm Jason, this is Chris."
969,We're friends with your brother.
970,"You are a fucking god, man!"
971,I thought you turned that paper in.
972,I did. Now fucking Murray turned me in...
973,so Sweeney's making me write another one.
974,Good old Sweeney.
975,He never stops trying.
976,"He's one of those ""proud to be nigger"" people."
977,I hate those guys.
978,"Wait a minute, Danny."
979,He's not proud.
980,"No. He's a manipulative, selfrighteous Uncle Tom."
