,dialog
0,What the fuck are you thinking?
1,There's a black guy outside breaking into your car.
2,How long has he been there?
3,I don't know.
4,What's going on?
5,"Not right now, honey. How many?"
6,"Danny, how many?"
7,"One, I think."
8,Is he strapped?
9,Does he have a gun?
10,I don't fucking know.
11,Wait a second.
12,What the fuck is going on?
13,Stay right here and be quiet.
14,"Wait a second, Derek. Wait."
15,Stay right here.
16,I don't have a personal problem with him.
17,"Don't insult my intelligence, Murray."
18,"You hate this child, and I think I know why."
19,Dr. Sweeney's office.
20,I went out with his mother a few times.
21,That was three years ago.
22,It was nothing.
23,Nothing. Really?
24,"That paper Bob, it's a travesty."
25,Arguing for Hitler as a civil rights hero.
26,You've got to draw the line.
27,on any book that related to the struggle for civil rights...
28,in plain English.
29,I am not disputing the fact that the child is confused...
30,and harbors some sick ideas...
31,but I am not ready to give up on him yet.
32,His brother probably put him up to it.
33,I guarantee you 100%%...
34,his brother did not put him up to this.
35,I find that hard to believe.
36,I know he was a good kid...
37,"and it's a shame what he's been through, but that's dangerous."
38,Dangerous in what way?
39,That goes too far.
40,"This racist propaganda, ""Mein Kampf"" psychobabble..."
41,"he learned this nonsense, and he can unlearn it, too."
42,I will not give up on this child yet.
43,I knew it was you.
44,"Danny, get in here."
45,I said get in here!
46,Get in here!
47,"Five, four, three, two..."
48,Shut the door!
49,"What's it gonna be, Danny?"
50,What's what gonna be?
51,This petty crap you're pulling.
52,I don't know.
53,Have a seat.
54,How are you doing?
55,Fine.
56,Things at home OK?
57,"Derek got out this morning, did he not?"
58,"Yeah, he did."
59,He was one of my students.
60,"You knew that, right?"
61,Honors English.
62,He was a brilliant student like you...
63,"but he hung out with fools, also like you."
64,Did you bring me in here to talk about Derek?
65,What happened to him has nothing to do with me.
66,Everything you do right now has something to do with Derek.
67,I followed directions.
68,"I wrote an ""A"" Paper."
69,"""Mein Kampf""?"
70,I should expel you.
71,Go ahead. You don't think I could handle it?
72,No. I think the street would kill you.
73,Your rhetoric and your propaganda...
74,aren't going to save you out there.
75,So here's the drill.
76,I'm your history teacher from now on.
77,We will discuss current events.
78,We will call this class...
79,American History X.
80,We meet once a day.
81,All right.
82,Your first assignment...
83,is to prepare for me a new paper due tomorrow.
84,"Come on, Sweeney. It took me a week to read ""Mein Kampf."" What do you want me to do it on?"
85,Your brother.
86,"Oh, God, man."
87,Please tell me you're joking.
88,No. I'm not kidding.
89,I want you to analyze and interpret all the events...
90,surrounding Derek's incarceration.
91,How these events helped shape your present perspective...
92,concerning life in contemporary America.
93,"The impact on your life, your family's."
94,"Whatever you want to say, Danny."
95,I'll be the only one reading it.
96,But if it's not on my desk tomorrow morning...
97,you are a ghost at Venice Beach High.
98,You clear?
99,"Yeah, I'm clear."
100,Telling teacher I'm fucking cheating!
101,Is that what's happening?
102,I never cheated in my life.
103,Beat his motherfucking ass.
104,I didn't say anything!
105,Why you tripping on me?
106,Now why you all kicking it like that?
107,"What's up, man?"
108,What you scared for?
109,I ain't gonna do nothing.
110,What's up?
111,"Want some, too, bitch?"
112,"Punk, what's wrong with you?"
113,You want to die?
114,Punkass white boy.
115,You lucky I gotta go to class.
116,He ain't gonna do nothing.
117,He don't wanna see me and the heater.
118,Lucky the bell rung.
119,I would have clocked that white boy.
120,Punkass motherfucker.
121,Should smoke that fool.
122,You gotta fucking stand up for yourself.
123,We got a whole file on skinheads here.
124,Part of the same gang?
125,Venice Beach gang.
126,"Actually, he's done a stretch at Y.A."
127,"This guy C.C., is that him?"
128,"Yeah, that's him right there."
129,"This morning we have a guest, and there he is."
130,Good morning.
131,"Morning, sir."
132,Good to see you.
133,Good morning.
134,This here is Dr. Bob Sweeney.
135,He's principal over at Venice Beach High.
136,"For some time now, he's been doing outreach work..."
137,with gangs both in and out of the can.
138,"Three years ago, a local kid named Derek Vinyard..."
139,was sent up for murdering a couple of Crips...
140,who were trying to jack his car.
141,"Bob taught Vinyard, and he's followed this case closely."
142,"He was a skinhead, right?"
143,"He was more like ""the"" skinhead..."
144,the prot g  of Cameron Alexander.
145, Who?
146, Cameron Alexander.
147,Here you go. Have a looksee.
148,"Cameron Alexander, well, he's a Venice Beach landmark."
149,He's the biggest distributor and writer...
150,of White Power literature and videos in L.A. County.
151,"He promotes White Power bands, he writes reviews..."
152,"and in his spare time, this guy even writes hate columns."
153, Does he have a record?
154, He's pretty clean.
155,"Been trying to pin something to him, but it doesn't work."
156,Trust me.
157,He's behind all of it.
158,He runs everything out of his house by the beach.
159,There were no white gangs in Venice Beach...
160,before Cameron Alexander and Derek Vinyard hooked up.
161,Alexander found in Derek his shining prince.
162,"Essentially, he used Derek to recruit..."
163,"a slew of insecure, frustrated, and impressionable kids."
164,"This kid Vinyard, he's got a lot of baggage..."
165,as you'll see on this tape we've gotten courtesy of NBC.
166,"Earlier today, L.A. County firefighter Dennis Vinyard..."
167,was shot and killed battling a blaze...
168,at a suspected Compton drug den.
169,We're at the Vinyard home now...
170,and Lieutenant Vinyard's oldest son Derek...
171,has agreed to talk with us for a moment.
172,"Derek, if you could come down here please for a second."
173,"Look, I know this is tough, but how do you feel right now?"
174,How do you think I feel?
175, I think it's typical.
176, Typical how?
177,"Well, this country's becoming a haven for criminals..."
178,so what do you expect?
179,Decent hardworking Americans like my dad...
180,are getting rubbed out by social parasites.
181,Parasites?
182,"Blacks, browns, yellow, whatever."
183,I don't understand.
184,You think maybe your father's murder was racerelated?
185,"Yeah, it's racerelated."
186,Every problem in this country is racerelated.
187,Not just crime.
188,"It's immigration, AIDS, welfare."
189,Those are problems of the black community...
190,"the Hispanic community, the Asian community."
191,They're not white problems.
192,Aren't those really issues that deal more with poverty?
193,No. They're not products of their environments.
194,Minorities don't give two shits about this country.
195,"They come here to exploit it, not to embrace it."
196,Millions of white Europeans came here and flourished...
197,within a generation.
198,What the fuck is the matter with these people?
199,They have to go around shooting at firemen.
200,What does this have to do with the murder of your father?
201,Because my father was murdered doing his job!
202,Putting out a fire in a fucking nigger neighborhood...
203,he shouldn't have given a shit about.
204,He got shot by a fucking drug dealer...
205,who probably still collects a welfare check.
206,Derek Vinyard was quietly released from Chino...
207,early this morning after serving three and some odd years.
208,I think this is something we gotta keep an eye on.
209,If something happens to him...
210,things could get very ugly down by the beach.
211,Just keep it low.
212,Venice Beach didn't always look like this.
213,It used to be a great neighborhood.
214,The boardwalk's always been a dump...
215,but when my dad moved us out here...
216,"Venice was a nice, quiet place to grow up."
217,"Over the years, though, it's just gone to hell."
218,The gangs are like a plague.
219,They moved west from Inglewood and South Central...
220,and basically took over.
221,I ain't fouling you!
222,I ain't got time for all this bullshit.
223,Fuck y'all.
224,You all right?
225,I'm all right.
226,"Yo, is that that fool you was telling me about?"
227,"Yeah, that's that motherfucker."
228,"Yeah, man, that's him."
229,Bitchass motherfucker.
230,That's why Derek started the D.O.C.
231,He said white kids shouldn't have to walk around scared...
232,"in their own neighborhood, and for a while there..."
233,we really made it like it was ours again.
234,Throw the ball!
235,"Come on, Curtis!"
236,Quit chucking it up.
237,Pass the ball.
238,"""D"" up!"
239,"Come on, let's go."
240,Look at this fucking jungle bunny.
241,He does a spin move every time.
242,"You ain't getting shit, motherfucker."
243,"This one's for you, boy!"
244,"What the fuck you Who you calling boy, motherfucker?"
245,"You're lucky, motherfucker!"
246,I'm through monkeying around with your fucking ass!
247,"Pale, pasty, pastramieating, cracker motherfucker."
248,A hundred bucks say I make you my bitch.
249,Hear that?
250,He's trying to make ends meet...
251,for his cut in welfare.
252,You're on!
253,"It's eightsix, Seth."
254,"When I want your opinion, I'll ask for it."
255,Come on. I can't cover this.
256,Help me out here.
257,You got a big fucking mouth.
258,I can take this niglet down.
259,You couldn't take a shit.
260,What are you thinking?
261,I will beat him.
262,Give me the money.
263,Shut up.
264,You're gonna fucking embarrass us.
265,I'll take care of this.
266,"Yo, I ain't got time for this."
267,Hey!
268,I got a bet.
269,I come in this game right now.
270,Same score...
271,but we play black guys against the white guys.
272,"Name your price, cracker."
273,No money. For these courts.
274,And not just today. For good.
275,"If you win, we will walk away..."
276,"but if we win, no bitching, no fighting."
277,"Right here in front of everybody, pack up your shit..."
278,and get your black asses out of here.
279,Fuck that. Take this bet.
280,Eight to six. Our ball.
281,Let's go.
282,Pick him up!
283,"Seth, get back and play some ""D."" Defense!"
284,Pass the fucking ball!
285,I was wide open!
286,Bullshit.
287,That's fucking offense.
288,Get out of here.
289,He moved his feet.
290,"You want to go, I'm ready!"
291,Don't throw elbows at me!
292,"You want to go, Adolf Hitler wannabe motherfucker?"
293, You OK?
294, Yeah. Give me some water.
295,You gotta call offense on that shit.
296,"Not on game point, Danny."
297,You can't let those niggers get away with that shit.
298,It's game point.
299,Shut 'em down. Kick some ass.
300,Watch this.
301,Byebye.
302,Get the fuck off my court!
303,This is my house!
304,"Fuck you, bitch!"
305,Get the fuck out of here!
306,This is my court!
307,Derek wouldn't let us visit him in prison.
308,He said it would make it just too hard for him...
309,"and that if we came, he wouldn't see us anyhow."
310,"Three years without him, just wondering."
311,And then at 7:00 this morning...
312,we picked him up outside the gate.
313,"The whole ride back, he didn't say anything."
314,"I wanted to stay home, but he said..."
315,"""No. Go to school."
316,"I'll see you later."" Oh, come on."
317,Give the guy a break.
318,"What? You too big to give me a hug, tough guy?"
319,"No, man. I just know you're gonna need someone..."
320,to look after you while you adjust to all this space.
321,"Yeah, right."
322,This place is smaller than the old living room.
323,How you doing? How's school?
324,It's good.
325,You gotta do something about that hair.
326,That do's has gotta go.
327, The girls like it.
328," Well, I don't."
329,You're keeping it pretty close.
330,You took it all the way down.
331,"Shit. Look. I forgot, man."
332,It hurt like shit when they put it on.
333,When'd you get that?
334,I got it about a month ago.
335,Cameron made it official.
336,He put this on you?
337,What?
338,"Oh, hi. He's here."
339,"Derek, it's for you."
340,Nothing.
341,Is there a phone in the back?
342,I'll get it in the back.
343,I got it. Yeah?
344,"Oh, hey."
345,What?
346,My eyes have seen the glory...
347,of the trampling at the zoo.
