number_of_dialog,start_time,end_time,dialog
1,"00:00:43,657","00:00:46,717",<font color=#ff00ff>- [MEN GROANING]</font> <font color=#ff00ff>- [INDISTINCT CHATTER]</font>
2,"00:00:50,577","00:00:53,003",Have you seen Dr. Meade?
3,"00:00:57,051","00:00:58,651",Dr. Meade!
4,"00:00:58,652","00:01:02,512","Oh, can you help me find Dr. Meade?"
5,"00:01:05,859","00:01:07,961",Oh...
6,"00:01:07,962","00:01:11,519","God, help us."
7,"00:01:13,267","00:01:17,692","God, save the Confederacy!"
8,"00:01:17,771","00:01:20,563","<font color=#ff00ff>[SOBBING, WHIMPERING]</font>"
9,"00:01:24,245","00:01:27,637",<font color=#ff00ff>[ORCHESTRAL MUSIC SWELLS]</font>
10,"00:01:38,792","00:01:41,717","Hello, my fellow Americans."
11,"00:01:44,631","00:01:49,569",They say we may have lost the battle but we didn't lose the war.
12,"00:01:49,570","00:01:53,574","Yes, my friends, we are under attack."
13,"00:01:53,575","00:01:58,611",You may have read about this in your local newspapers or seen it on the evening news.
14,"00:01:58,612","00:01:59,853",That's right.
15,"00:01:59,854","00:02:06,886",We are living in an era marked by the spread of integration and miscegenation.
16,"00:02:06,887","00:02:08,989",<font color=#ff00ff>[PROJECTOR CLICKS AND RATTLES]</font>
17,"00:02:08,990","00:02:09,990",<font color=#ff00ff>[BEAUREGARD YELLS]</font>
18,"00:02:09,991","00:02:12,725","The ""Brown"" decision. <font color=#ff00ff>[CLEARS THROAT]</font> Ah-ah-ah!"
19,"00:02:12,726","00:02:14,827","The ""Brown"" decision,"
20,"00:02:14,828","00:02:20,067","forced upon us by the Jewish-controlled puppets on the U.S. Supreme Court,"
21,"00:02:20,068","00:02:27,207","compelling white children to go to school with an inferior race,"
22,"00:02:27,208","00:02:31,144",is the final nail in a coffin... <font color=#ff00ff>[CLEARS THROAT]</font>
23,"00:02:31,145","00:02:37,457",Is the final nail in a black coffin towards America becoming a mongrel nation.
24,"00:02:37,458","00:02:41,988",We had a great way of life. We had... Ma-ma-ma-ma-ma!
25,"00:02:41,989","00:02:46,492",We had a great way of life. We had a great way of life.
26,"00:02:46,493","00:02:52,032",We had a great way of life until the Martin Luther Coons of this world
27,"00:02:52,033","00:02:55,701",and their army of Commies started their civil rights assault
28,"00:02:55,702","00:03:00,706",against our holy white Protestant values.
29,"00:03:00,707","00:03:05,578",Do you really want your precious white child going to school with Negroes?
30,"00:03:05,579","00:03:09,048","<i>They're lying, dirty monkeys,</i>"
