number_of_dialog,start_time,end_time,dialog
31,"00:03:09,049","00:03:12,017",stopping at nothing to gain their equality with white men.
32,"00:03:12,018","00:03:14,687","- Oh, my God. - <i>Rapists, murderers,</i>"
33,"00:03:14,688","00:03:16,822",craving the virgin white...
34,"00:03:16,823","00:03:18,758","- Is it ""virgin pure""? <i><font color=#FF551>- WOMAN:</font> Yes.</i>"
35,"00:03:18,759","00:03:19,625",<font color=#ff00ff>[CLEARS THROAT]</font>
36,"00:03:19,626","00:03:25,031","Rapists, murderers, craving the virgin pure flesh of white women."
37,"00:03:25,032","00:03:27,466",<font color=#ff00ff>- [WOMAN SCREAMS]</font> - <i>They are super predators!</i>
38,"00:03:27,467","00:03:33,266","And the Negro's insidious tactics, under the tutelage of high-ranking, blood-sucking Jews,"
39,"00:03:33,267","00:03:38,245","using an army of outside northern black beast preda... what is it? ""Black beast agitat..."""
40,"00:03:38,246","00:03:40,681","<i><font color=#FF551>- WOMAN:</font> ""Agitators.""</i> - God, watch this! God!"
41,"00:03:40,682","00:03:45,185",Using an army of outside northern black beast agitators
42,"00:03:45,186","00:03:53,861",determined to overthrow the God-commanded and biblically inspired rule of the white race.
43,"00:03:53,862","00:03:57,563",It's an international Jewish conspiracy.
44,"00:03:57,564","00:04:00,856",May God bless us all.
45,"00:04:01,902","00:04:04,660","<i><font color=#FF551>WOMAN:</font> God bless you, too, sir.</i>"
46,"00:04:44,312","00:04:46,769",<font color=#ff00ff>[BIRDS CAWING]</font>
47,"00:05:00,061","00:05:02,818",<font color=#ff00ff>[CLOCK TICKING QUIETLY]</font>
48,"00:05:09,503","00:05:12,105",Why weren't you drafted into the Vietnam War?
49,"00:05:12,106","00:05:17,010","- I went to college, sir. - <i>How do you feel about Vietnam?</i>"
50,"00:05:17,011","00:05:19,479","I have mixed feelings, sir."
51,"00:05:19,480","00:05:22,182",Would you call yourself a womanizer?
52,"00:05:22,183","00:05:24,451","- No, I would not, sir. - You frequent nightclubs?"
53,"00:05:24,452","00:05:26,353","- No, sir. <i><font color=#FF551>- CHIEF:</font> Do you drink?</i>"
54,"00:05:26,354","00:05:28,555","Only on special occasions, sir."
55,"00:05:28,556","00:05:32,693","- Ever done any drugs? - Only those prescribed by my doctor, sir."
56,"00:05:32,694","00:05:36,236","Well, that's kind of rare for a young, hip soul brother like you."
57,"00:05:36,237","00:05:38,598","Uh, yes, sir."
58,"00:05:38,599","00:05:43,269","But my father was in the military, and my parents, they raised me the right way."
59,"00:05:43,270","00:05:48,308","- How do you get along with people, generally? - Sir, they treat me right, I treat them right."
60,"00:05:48,309","00:05:50,610","Like I said before, I was raised up the right way, so..."
61,"00:05:50,611","00:05:52,312","I mean, have you ever had any negative..."
62,"00:05:52,313","00:05:54,681",What would you do if another cop called you a nigger?
63,"00:05:54,682","00:05:57,072",<i>Or worse.</i>
64,"00:05:59,353","00:06:04,445","- Would that happen, sir? - Shit..."
65,"00:06:04,992","00:06:06,526",<font color=#ff00ff>[CHIEF CLEARS THROAT]</font>
66,"00:06:06,527","00:06:09,061",<i>There's never been a black cop in this city.</i>
67,"00:06:09,062","00:06:11,865","Now, if we make you an officer, you will, in effect,"
68,"00:06:11,866","00:06:16,236",be the Jackie Robinson of the Colorado Springs Police Force.
69,"00:06:16,237","00:06:18,471","And if you know anything about Jackie Robinson,"
70,"00:06:18,472","00:06:24,210","you know he had to take a lot of, uh, uh, guff from his fellow teammates, the fans,"
71,"00:06:24,211","00:06:25,945",other teams and the press.
72,"00:06:25,946","00:06:28,648","I know the Jackie Roosevelt Robinson story, sir."
73,"00:06:28,649","00:06:34,054","Good. So, knowing that, if somebody calls you a nigger, will you be able to turn the other cheek?"
74,"00:06:34,055","00:06:36,089",<font color=#ff00ff>[SNIFFS]</font>
75,"00:06:36,090","00:06:39,882","If I had to, sir, yes. Yes, I would."
76,"00:06:42,229","00:06:50,035","Son... the mayor, the chief and I think you might be the man to open things up around here."
77,"00:06:50,036","00:06:54,507",- Chief Bridges will be your Branch Rickey. - I'll have your back.
78,"00:06:54,508","00:06:57,232",<i>But I can only do so much.</i>
79,"00:06:57,879","00:07:00,913",The weight of this is going to be on you...
80,"00:07:00,914","00:07:05,540","- and you alone. - Thank you for the opportunity, gentlemen."
81,"00:07:19,700","00:07:22,435",- Wow. Cybill Shepherd. <font color=#ff00ff>- [CHUCKLES]</font> Yeah.
82,"00:07:22,436","00:07:24,104","I loved her in ""The Last Picture Show""."
83,"00:07:24,105","00:07:27,507",Never saw it. I don't like black-and-white movies.
84,"00:07:27,508","00:07:31,378","- So, what do you think? - I think she's a really good actress."
85,"00:07:31,379","00:07:32,779","Oh, come on. You know you want"
86,"00:07:32,780","00:07:33,980",- some of that. <font color=#ff00ff>- [DOOR OPENING]</font>
87,"00:07:33,981","00:07:36,315",<i><font color=#FF551>- MAN:</font> Looking for a toad here.</i> - You're up.
88,"00:07:36,316","00:07:37,639",<font color=#ff00ff>[DOOR CLOSES]</font>
89,"00:07:38,922","00:07:42,244","Give me the record for that toad, Maurice Smalls."
90,"00:08:05,279","00:08:11,440","While you're at it, grab another toad, Tippy Birdsong."
91,"00:08:12,586","00:08:14,554",T-I-P-P-Y.
92,"00:08:14,555","00:08:16,945",<font color=#ff00ff>[KNOCKING ON GLASS]</font>
93,"00:08:19,527","00:08:20,727",Can I help you?
94,"00:08:20,728","00:08:24,019","- May I have a minute, please? - Sit."
95,"00:08:30,237","00:08:32,338",<font color=#ff00ff>[SIGHS]</font>
96,"00:08:32,339","00:08:37,243","Sergeant Trapp, Chief Bridges, I'll get right to it."
97,"00:08:37,244","00:08:41,614","- I'd like to be an undercover detective. - What, like Narcotics?"
98,"00:08:41,615","00:08:46,119","- Whichever department works, sir. - You just joined the force, rookie."
99,"00:08:46,120","00:08:47,727",I think I can do some real good there.
100,"00:08:47,728","00:08:50,256",- Is that right? - <i>I'm young.</i>
101,"00:08:50,257","00:08:51,624",There's a real niche for me.
102,"00:08:51,625","00:08:56,196","- Get in where I fit in. - You think a lot of yourself, don't you?"
103,"00:08:56,197","00:08:58,754",I'll do whatever it takes.
104,"00:08:59,600","00:09:01,701",And I hate the records room.
105,"00:09:01,702","00:09:03,102",<font color=#ff00ff>[CHUCKLING]</font>
106,"00:09:03,103","00:09:05,205",Well...
107,"00:09:05,206","00:09:09,664","I think records is a good place for you to start, rookie."
108,"00:09:10,277","00:09:14,814","Chief, do you want me clean-shaven? I can even chop down the natural."
109,"00:09:14,815","00:09:17,183","No, no, no. You keep it."
110,"00:09:17,184","00:09:19,586",I like the look.
111,"00:09:19,587","00:09:22,644",I need a file on a toad.
112,"00:09:30,097","00:09:35,235",You deaf? I said I need a file on a toad.
113,"00:09:35,236","00:09:37,420",- No toads here. - Excuse me?
114,"00:09:37,421","00:09:40,607",I said I don't have any toads.
115,"00:09:40,608","00:09:42,809",I do have human beings.
116,"00:09:42,810","00:09:46,279","You give me their names, I'll get you the file."
117,"00:09:46,280","00:09:52,619","I heard you think you're hot shit, but you ain't nothing but a cold fart."
118,"00:09:52,620","00:09:57,679",The name is Steven Wilson.
119,"00:10:04,365","00:10:07,256",<font color=#ff00ff>[PHONE RINGS IN DISTANCE]</font>
120,"00:10:33,294","00:10:38,564","Was that respectful enough for you, Officer Toad?"
121,"00:10:38,565","00:10:42,858","<font color=#ff00ff>[""OH HAPPY DAY"" BY THE EDWIN HAWKINS SINGERS PLAYS]</font>"
122,"00:10:57,318","00:11:00,520","- <i># Oh, happy day # - # Oh, happy day #</i>"
123,"00:11:01,021","00:11:04,691","- <i># Oh, happy day # - # Oh, happy day #</i>"
124,"00:11:04,692","00:11:07,594",<i># When Jesus washed #</i>
125,"00:11:07,595","00:11:09,395",- <i># When Jesus washed #</i> <font color=#ff00ff>- [PHONE RINGING]</font>
126,"00:11:09,396","00:11:13,565","- <i># Oh, when he washed # - # When Jesus washed #</i>"
127,"00:11:13,566","00:11:15,468",<i># When Jesus washed #</i>
128,"00:11:15,469","00:11:18,939",- <i># When Jesus washed # - # He washed my sins away #</i>
129,"00:11:18,940","00:11:21,240","- <i># Oh, happy day #</i> <font color=#ff00ff>- [CONTINUES RINGING]</font>"
130,"00:11:21,241","00:11:23,509","<i># Oh, happy day #</i>"
131,"00:11:25,245","00:11:28,514","- Hello. - <i>It's Bridges, you sleeping?</i>"
132,"00:11:28,515","00:11:34,487","- Uh, yeah, Chief, um, worked an all-night shift. - <i>I've changed my mind.</i>"
133,"00:11:34,488","00:11:36,389",<i>You're coming in a little early today.</i>
134,"00:11:36,390","00:11:39,258","- <i>I got an assignment for you.</i> <font color=#ff00ff>- [CLEARS THROAT, COUGHS]</font>"
135,"00:11:39,259","00:11:41,861",<i>12:00 noon sharp. Narcotics division.</i>
136,"00:11:41,862","00:11:43,530","- Yes, sir. - <i>Wear street clothes.</i>"
137,"00:11:43,531","00:11:44,864",Thank you.
138,"00:11:44,865","00:11:52,261","- <i># He washed my sins away # - # Oh, happy day #</i>"
139,"00:11:57,611","00:12:00,353","- CP time? - Jimmy, the rookie's late."
140,"00:12:00,354","00:12:02,983","- You're late, rookie. - Sorry. Won't happen again."
141,"00:12:02,984","00:12:05,692","We have limited time, so I'll be quick."
142,"00:12:05,693","00:12:10,590","The black radical, Stokely Carmichael, is giving a speech tonight at Bell's Nightingale."
143,"00:12:10,591","00:12:12,392",- Yep. - Carmichael is a former
144,"00:12:12,393","00:12:15,354",high-muckety-muck with the Black Panthers.
145,"00:12:15,355","00:12:18,331","And as far as I'm concerned, FBI Director J. Edgar Hoover"
146,"00:12:18,332","00:12:20,968",was dead right when he said the Black Panthers
147,"00:12:20,969","00:12:25,838",are the greatest internal threat to the security of these United States.
148,"00:12:25,839","00:12:32,872","This Carmichael joker, former Panther or not, well, they say, he is a damn good speaker,"
149,"00:12:32,873","00:12:35,682",and so we don't want this Carmichael
150,"00:12:35,683","00:12:41,987",getting into the minds of the good black people here in Colorado Springs and stirring them up.
151,"00:12:41,988","00:12:46,659","Ron, your assignment is to go to this speech tonight, infiltrate this bunch of subversives"
152,"00:12:46,660","00:12:50,897",and just monitor the audience reaction to Carmichael's speech.
153,"00:12:50,898","00:12:53,266",- You ready? - Born ready.
154,"00:12:53,267","00:12:55,223",I'm not ready.
155,"00:12:55,903","00:12:58,204",<font color=#ff00ff>[RON SIGHS]</font>
156,"00:12:58,205","00:13:01,841","- Any chance this thing fucks up? - Oh, fuck yeah."
157,"00:13:01,842","00:13:04,444",- Then what? <i><font color=#FF551>- JIMMY:</font> Just stick to the game plan.</i>
158,"00:13:04,445","00:13:07,500",- Which is? - Uh... improvise.
159,"00:13:07,501","00:13:09,549",- Like jazz. - Like bebop.
160,"00:13:09,550","00:13:10,818",<font color=#ff00ff>- [JIMMY SCATTING]</font> - This isn't some big bust.
161,"00:13:10,819","00:13:12,852",We just want some intel. That's it.
162,"00:13:12,853","00:13:14,854",And what if someone offers you a marijuana cigarette?
163,"00:13:14,855","00:13:18,391",- You mean a joint? - Yeah. Mary Jane.
164,"00:13:18,392","00:13:21,461",<font color=#ff00ff>[INHALES DEEPLY]</font>
165,"00:13:21,462","00:13:24,264",<font color=#ff00ff>[COUGHING]</font> Excuse me.
166,"00:13:24,265","00:13:25,562","Soul brother,"
167,"00:13:25,563","00:13:27,333",- I'm already high on life. Can you dig it? <font color=#ff00ff>- [LAUGHS]</font>
168,"00:13:27,334","00:13:29,335",- It's dug. - My man.
169,"00:13:29,336","00:13:32,005",- And if someone pulls a gun on you? - Will that happen?
170,"00:13:32,006","00:13:33,606",- Barrel of a .45 in your face. - Shit.
171,"00:13:33,607","00:13:35,608",Finger on the trigger. Now what?
172,"00:13:35,609","00:13:38,045","Blood, get that gun out of my face. Peace, love and soul."
173,"00:13:38,046","00:13:39,479",Gun is still in your face.
174,"00:13:39,480","00:13:42,281","I de-escalate... talk calmly, firmly."
175,"00:13:42,282","00:13:46,553",- Find a way out of there ASAP. - Relax. We'll be outside listening in.
176,"00:13:46,554","00:13:48,310",- Okay. - Got it?
177,"00:13:50,524","00:13:51,992",<font color=#ff00ff>[SIGHS]</font>
178,"00:13:51,993","00:13:55,328",I got it. I'm gone.
179,"00:13:57,065","00:13:58,531",Here we go.
180,"00:13:58,532","00:14:01,423",<font color=#ff00ff>[INDISTINCT CHATTER]</font>
181,"00:14:19,553","00:14:22,022",I just have so many questions to ask him.
182,"00:14:22,023","00:14:23,656",- But... - Um...
183,"00:14:23,857","00:14:24,892","How are you, uh..."
184,"00:14:24,893","00:14:29,117","- how are you doing this evening, my sister? - Can we help you?"
185,"00:14:30,798","00:14:35,035","- I'm doing fine, my brother. <font color=#ff00ff>[CHUCKLES]</font> - What? We don't know him."
186,"00:14:35,036","00:14:38,004","What? Hakeem, why you dragging me?"
187,"00:14:38,005","00:14:42,608","- It's going to be an amazing night. - Indeed, it is."
188,"00:14:42,609","00:14:45,145",Have you heard Brother Kwame speak before?
189,"00:14:45,146","00:14:47,147",Who?
190,"00:14:47,148","00:14:52,652","<font color=#ff00ff>- [CHUCKLES]</font> Uh, Kwame Ture. - Oh, uh, uh... well, actually, I haven't, but..."
191,"00:14:52,653","00:14:54,587",- Okay. - I didn't realize he changed his name.
192,"00:14:54,588","00:14:58,290","<font color=#ff00ff>- [RON CHUCKLES]</font> - Uh, yes, after he moved to Africa."
193,"00:14:58,291","00:15:02,762","He took the names of Kwame Nkrumah of Ghana and his mentor, S̩kou Tour̩ of Guinea,"
194,"00:15:02,763","00:15:05,031",to honor the great leaders.
195,"00:15:05,032","00:15:06,967","- Well, that is heavy. - Mm-hmm."
196,"00:15:06,968","00:15:08,835",You know how he got to Colorado Springs?
197,"00:15:08,836","00:15:11,370","Yeah, yeah. The, uh, Colorado College Black Student Union"
198,"00:15:11,371","00:15:13,606","- invited him. - Oh, I can dig it."
199,"00:15:13,607","00:15:14,874",- I can dig it. - Mm-hmm.
200,"00:15:14,875","00:15:17,010","Are you, uh... are you part of the Union?"
201,"00:15:17,011","00:15:19,312",I'm the president.
202,"00:15:19,313","00:15:22,115",Really? I'm talking to the president right now?
203,"00:15:22,116","00:15:24,752","- Yes, you are. - Right on, sister."
204,"00:15:24,753","00:15:26,820","- Well, I bought a ticket. - Mm-hmm."
205,"00:15:26,821","00:15:29,622",May I skip the line since I'm talking to the president?
206,"00:15:29,623","00:15:32,292",There's no cutting in line.
207,"00:15:32,293","00:15:33,893",To the back.
208,"00:15:33,894","00:15:35,528",<i><font color=#FF551>RON:</font> <font color=#ff00ff>[OVER SPEAKER]</font> See you inside?</i>
209,"00:15:35,529","00:15:37,063","<i><font color=#FF551>PATRICE:</font> I'll see you inside, my brother.</i>"
210,"00:15:37,064","00:15:39,432",<i><font color=#FF551>- RON:</font> Mrs. President. <font color=#FF551>- PATRICE:</font> Right on.</i>
211,"00:15:39,433","00:15:41,668","- Ungawa, Black Power! <font color=#ff00ff>- [CHEERING AND APPLAUSE]</font>"
212,"00:15:41,669","00:15:43,870",The Black Student Union of Colorado College
213,"00:15:43,871","00:15:46,373",is honored to bring the vanguard of revolutionaries
214,"00:15:46,374","00:15:49,609",fighting for the rights of black people all over the world.
215,"00:15:49,610","00:15:52,012",<font color=#ff00ff>- [CHEERING AND APPLAUSE]</font> - Let's show some black love
216,"00:15:52,013","00:15:54,314","to the one and only, the brother man with a plan"
217,"00:15:54,315","00:15:56,449","- who is sticking it to the man. <i><font color=#FF551>- WOMAN:</font> Right on, right on.</i>"
218,"00:15:56,450","00:16:00,653","Put your hands together, my people, for our Kwame Ture."
219,"00:16:00,654","00:16:04,614","<font color=#ff00ff>[CHEERING, APPLAUSE AND WHISTLING]</font>"
220,"00:16:07,828","00:16:11,052",<font color=#ff00ff>[INDISTINCT SHOUTING AND CHEERING]</font>
221,"00:16:13,233","00:16:14,800","<i><font color=#FF551>KWAME TURE:</font> Thank you, Sister Patrice.</i>"
222,"00:16:14,801","00:16:16,937",- Thank you. - And the Black Student Union.
223,"00:16:16,938","00:16:19,338","I want to thank all of you,"
224,"00:16:19,339","00:16:22,849","my beloved sisters and brothers, for coming out tonight."
225,"00:16:22,850","00:16:24,477",<i><font color=#FF551>- WOMAN:</font> Okay! <font color=#ff00ff>- [CROWD MURMURING]</font></i>
226,"00:16:24,478","00:16:27,280",But I'm here tonight to tell you
227,"00:16:27,281","00:16:29,749",that it is time
228,"00:16:29,750","00:16:32,585",for you to stop running away from being black.
229,"00:16:32,586","00:16:36,111",<i><font color=#FF551>- MAN:</font> Boom-shaka-laka! <font color=#ff00ff>- [CROWD MURMURING]</font></i>
230,"00:16:37,491","00:16:42,194","It is time for you to stop running away from being black. You're college students, right?"
231,"00:16:42,195","00:16:43,196",<i><font color=#FF551>- WOMAN:</font> Right on. <font color=#FF551>- WOMAN2:</font> That's right.</i>
232,"00:16:43,197","00:16:45,798",You should think.
233,"00:16:45,799","00:16:49,202","It is time for you to understand that you,"
234,"00:16:49,203","00:16:56,509","as the growing intellectuals of this country, that you must define beauty for black people."
235,"00:16:56,510","00:16:59,045","<i><font color=#FF551>- WOMAN:</font> Okay!</i> - Now, that's Black Power."
236,"00:16:59,046","00:17:01,469","<font color=#ff00ff>[CHEERING, APPLAUSE AND WHISTLING]</font>"
237,"00:17:03,117","00:17:07,554",<i>Let me ask you something... is beauty defined as someone with a narrow nose?</i>
238,"00:17:07,555","00:17:10,155",<i><font color=#FF551>- CROWD:</font> No! - Thin lips?</i>
239,"00:17:10,156","00:17:11,618",<i><font color=#FF551>CROWD:</font> No!</i>
240,"00:17:11,619","00:17:12,625",<font color=#ff00ff>[WHISPERS]</font> <i>White skin?</i>
241,"00:17:12,626","00:17:13,891",- Uh-uh. <i><font color=#FF551>- CROWD:</font> Hell no!</i>
242,"00:17:13,892","00:17:16,296",- Hell no. - <i>Hell no!</i>
243,"00:17:16,297","00:17:17,763",'Cause you ain't got none of that.
244,"00:17:17,764","00:17:19,699",<i><font color=#FF551>- WOMAN:</font> No. Okay. <font color=#ff00ff>- [LIGHT LAUGHTER]</font></i>
245,"00:17:19,700","00:17:22,490",<font color=#ff00ff>[APPLAUSE]</font>
246,"00:17:22,971","00:17:24,604",Our lips are thick.
247,"00:17:24,605","00:17:25,605","<i><font color=#FF551>- MAN:</font> Yes. <font color=#FF551>- WOMAN:</font> Yes, they are!</i>"
248,"00:17:25,606","00:17:27,640",- Our noses broad. <font color=#ff00ff>- [MURMURS OF AGREEMENT]</font>
249,"00:17:27,641","00:17:29,709",- Our hair is nappy. <i><font color=#FF551>- CROWD:</font> Yes!</i>
250,"00:17:29,710","00:17:32,111","We are black, and we are beautiful!"
251,"00:17:32,112","00:17:34,314",<i><font color=#FF551>- WOMAN:</font> Yes! <font color=#FF551>- MAN:</font> Boom-shaka-laka!</i>
252,"00:17:34,315","00:17:37,417","<font color=#ff00ff>[CHEERING, APPLAUSE AND WHISTLING]</font>"
253,"00:17:37,418","00:17:39,585","You see,"
254,"00:17:39,586","00:17:43,957",we want to be so much like the white people who oppress us in this country.
255,"00:17:43,958","00:17:46,093","<i><font color=#FF551>- WOMAN:</font> Nope!</i> - And because they hate us,"
256,"00:17:46,094","00:17:51,264","and because we are ashamed of our African heritage, we then hate ourselves."
257,"00:17:51,265","00:17:53,666",<i><font color=#FF551>- WOMAN:</font> Preach. <font color=#ff00ff>- [CROWD MURMURING]</font></i>
258,"00:17:53,667","00:17:55,068",<font color=#ff00ff>[KWAME TURE CHUCKLING]</font>
259,"00:17:55,069","00:17:58,138",- Y'all don't hear me tonight. <i><font color=#FF551>- PATRICE:</font> We hear you.</i>
260,"00:17:58,139","00:17:59,605",Y'all dig Tarzan?
261,"00:17:59,606","00:18:00,806",<font color=#ff00ff>[QUIET MURMURING]</font>
262,"00:18:00,807","00:18:02,842",Tarzan. I'm gonna be honest.
263,"00:18:02,843","00:18:09,316","When I was a boy, I used to go to the Saturday matinees and watch Tarzan all the time."
264,"00:18:09,317","00:18:10,751","<i><font color=#FF551>- WOMAN:</font> Okay. <font color=#FF551>- MAN:</font> Yeah, yeah.</i>"
265,"00:18:10,752","00:18:14,321",And white Tarzan used to beat up the black natives.
266,"00:18:14,322","00:18:15,521",<i><font color=#FF551>WOMAN:</font> Mmm. Mm-hmm.</i>
267,"00:18:15,522","00:18:20,160","And I would sit there, yelling, ""Kill the beasts!"
268,"00:18:20,161","00:18:27,034","""Kill the savages. Kill them. Kill them! Kill them! Kill them!"""
269,"00:18:27,035","00:18:32,838","- But what I was saying was: ""Kill me"". <i><font color=#FF551>- CROWD:</font> That's right.</i>"
270,"00:18:32,839","00:18:37,978",It was as if a young Jewish boy saw Nazis taking Jews off to concentration camps
271,"00:18:37,979","00:18:39,645",and cheered them on.
272,"00:18:39,646","00:18:43,516","Today, I want those chiefs to beat the hell out of Tarzan"
273,"00:18:43,517","00:18:47,920",and send his lily white ass on back to the caves of Europe.
274,"00:18:47,921","00:18:48,421","<font color=#ff00ff>[CHEERING, APPLAUSE AND WHISTLING]</font>"
275,"00:18:48,422","00:18:51,123",<i><font color=#FF551>- MAN:</font> Boom-shaka-laka!</i> - Right on.
276,"00:18:51,124","00:18:52,292",Right on.
277,"00:18:52,293","00:18:55,060",But it takes time.
278,"00:18:55,061","00:19:00,866",It takes time to become free of the lies and their shaming effects on the black mind.
279,"00:19:00,867","00:19:03,964",<i><font color=#FF551>- WOMAN:</font> Okay.</i> - It takes time to reject the most important lie:
280,"00:19:03,965","00:19:05,871",that black people can't do the same things
281,"00:19:05,872","00:19:08,375",- that white people do... <i><font color=#FF551>- WOMAN:</font> That's a lie.</i>
282,"00:19:08,376","00:19:10,610",...unless a white person helps them.
283,"00:19:10,611","00:19:11,278",<i><font color=#FF551>WOMAN:</font> Talk about it.</i>
284,"00:19:11,279","00:19:15,115",<i><font color=#FF551>KWAME TURE:</font> Black Power also means that we must unite.</i>
285,"00:19:15,116","00:19:19,685","We must unite, and we must organize to form a base to fight racism."
286,"00:19:19,686","00:19:21,720",<i><font color=#FF551>- WOMAN:</font> Okay!</i> <font color=#FF551>- PATRICE:</font> Yes. Yes.
287,"00:19:21,721","00:19:24,546",To fight our oppressors.
288,"00:19:25,826","00:19:30,130","The vast majority of Negroes around this country,"
289,"00:19:30,131","00:19:32,665",they live in captive communities.
290,"00:19:32,666","00:19:37,104","And they must endure their oppression and their conditions, because and only because"
291,"00:19:37,105","00:19:40,773",- they are black and powerless. <i><font color=#FF551>- WOMAN:</font> Educate. Educate.</i>
292,"00:19:40,774","00:19:42,941",And now...
293,"00:19:42,942","00:19:51,118",now we are being shot down like dogs in the streets by white racist cops.
294,"00:19:51,119","00:19:52,485",<font color=#ff00ff>- [CROWD MURMURING OVER SPEAKER]</font> <i><font color=#FF551>- WOMAN:</font> Speak the truth.</i>
295,"00:19:52,486","00:19:56,856",<i><font color=#FF551>KWAME TURE:</font> I said we are being shot down in the streets by white racist cops!</i>
296,"00:19:56,857","00:19:59,858","<font color=#ff00ff>- [CROWD CHEERING, SHOUTING]</font> <i><font color=#FF551>- WOMAN:</font> Fuck the police.</i>"
297,"00:19:59,859","00:20:04,501",We can no longer endure this kind of oppression without retribution.
298,"00:20:04,502","00:20:06,233",<font color=#ff00ff>- [APPLAUSE]</font> <i><font color=#FF551>- WOMAN:</font> Hell no!</i>
299,"00:20:06,234","00:20:07,971","<font color=#ff00ff>- [CHEERING, WHISTLING]</font> <i><font color=#FF551>- WOMAN:</font> No more.</i>"
300,"00:20:07,972","00:20:10,137","That war in Vietnam,"
301,"00:20:10,138","00:20:14,007","it is not only illegal, it is immoral."
302,"00:20:14,008","00:20:15,976",<i><font color=#FF551>- WOMAN:</font> That's right. <font color=#FF551>- WOMAN2:</font> Talk about it.</i>
303,"00:20:15,977","00:20:17,910",<i><font color=#FF551>KWAME TURE:</font> And you know what I tell them?</i>
304,"00:20:17,911","00:20:23,250","- Hell no... we won't go! <i><font color=#FF551>- CROWD:</font> Hell no, we won't go!</i>"
305,"00:20:23,251","00:20:31,391","Hell no, we won't go! Hell no, we won't go! Hell no, we won't go! Hell no, we won't go!"
306,"00:20:31,392","00:20:35,395","Hell no, we won't go! Hell no, we won't go!"
307,"00:20:35,396","00:20:37,397","Hell no, we won't go!"
308,"00:20:37,398","00:20:40,133","- Hell no, we won't go! <i><font color=#FF551>- MAN:</font> We ain't going!</i>"
309,"00:20:40,134","00:20:46,006",I'd rather see a brother kill a white racist cop than kill a Vietnamese.
310,"00:20:46,007","00:20:48,541","<font color=#ff00ff>- [CROWD MURMURING OVER SPEAKER]</font> <i><font color=#FF551>- WOMAN:</font> Me, too.</i>"
311,"00:20:48,542","00:20:51,377","<i><font color=#FF551>KWAME TURE:</font> Because at least,</i>"
312,"00:20:51,378","00:20:55,002","<i>if he kills a racist cop, he is doing it for a reason:</i>"
313,"00:20:55,003","00:20:58,852",because they are shooting black people in the backs...
314,"00:20:58,853","00:21:02,122","in these streets, right here in this very country."
315,"00:21:02,123","00:21:04,637",<font color=#ff00ff>[CHEERING AND APPLAUSE]</font>
316,"00:21:05,633","00:21:08,461",- They're killing us like dogs! <i><font color=#FF551>- MAN:</font> Boom-shaka-laka!</i>
317,"00:21:08,462","00:21:10,418",Right here!
318,"00:21:11,499","00:21:13,233",<i>Right here!</i>
319,"00:21:13,234","00:21:16,503","I just want to leave you, uh, in closing"
