number_of_dialog,start_time,end_time,dialog
90,"00:05:53,018","00:05:54,269","Your job is connector,"
91,"00:05:54,353","00:05:58,106",which means that you'll be dialing the phone over 500 times a day
92,"00:05:58,232","00:06:01,109",trying to connect me with wealthy business owners.
93,"00:06:01,193","00:06:03,153","And until you pass your Series 7,"
94,"00:06:03,237","00:06:05,447",that is all you're gonna fucking be doing. Sit.
95,"00:06:05,531","00:06:06,782",Sit!
96,"00:06:07,783","00:06:11,203","Now just so you know, last year I made over $300,000."
97,"00:06:11,286","00:06:14,873","The other guy you'll be working for, he made over a million."
98,"00:06:14,957","00:06:16,583",<i>A million dollars?</i>
99,"00:06:16,667","00:06:19,628",<i>I could only imagine what a douchebag that guy must be.</i>
100,"00:06:19,795","00:06:22,631","- Jordan Belfort. - Yes, sir."
101,"00:06:22,756","00:06:24,383",- Mark Hanna. - A pleasure to meet you.
102,"00:06:24,466","00:06:27,052",And you as well. I see you've already met the village asshole.
103,"00:06:27,135","00:06:28,762",Smile and dial.
104,"00:06:28,845","00:06:31,348",And don't pick up your fucking head until 1:00.
105,"00:06:31,473","00:06:32,975","Hey, fuck him."
106,"00:06:33,058","00:06:35,686",I'm the senior broker here. He's just a worthless piker.
107,"00:06:35,811","00:06:37,563","Why don't you blow me, Hanna?"
108,"00:06:37,646","00:06:40,983",Now did you really pitch a stock in your job interview?
109,"00:06:41,066","00:06:42,818","I had to do something to stand out. Right, sir?"
110,"00:06:43,819","00:06:45,571",I fucking love that.
111,"00:06:46,154","00:06:47,781",- Lunch. Today. - Yeah.
112,"00:06:47,906","00:06:50,701",We don't start dialing at 9:30
113,"00:06:50,826","00:06:53,662",because our clients are already answering the phone.
114,"00:06:53,745","00:06:56,373",Three. Two. One.
115,"00:06:56,456","00:06:57,457",Let's fuck!
116,"00:06:59,251","00:07:01,128",<i>You want to know what money sounds like?</i>
117,"00:07:01,211","00:07:03,171",<i>Go to a trading floor on Wall Street.</i>
118,"00:07:03,255","00:07:04,715","<i>""Fuck"" this, ""shit"" that.</i>"
119,"00:07:04,798","00:07:06,341","<i>""Cunt,"" ""cock,"" ""asshole.""</i>"
120,"00:07:06,425","00:07:08,510",<i>I couldn't believe how these guys talked to each other.</i>
121,"00:07:08,594","00:07:09,886",- Good fucking package... - Piece of shit!
122,"00:07:09,970","00:07:11,597",<i>I was hooked in seconds.</i>
123,"00:07:12,848","00:07:14,850",<i>It was like mainlining adrenaline.</i>
124,"00:07:14,933","00:07:17,227","Yeah. Fuckface, look at where the stock's at today, huh?"
125,"00:07:17,769","00:07:20,188","You motherfucker, you can't get any at 44..."
126,"00:07:20,355","00:07:22,566",- Pick up the cocksucking phone! - Sorry...
127,"00:07:25,319","00:07:27,487","You are such a fucking douchebag, Hanna."
128,"00:07:27,571","00:07:30,324",We don't give two shits about how technology works
129,"00:07:30,407","00:07:33,035",because all we care about is getting fucking rich.
130,"00:07:33,160","00:07:34,411","- Solid, 2,000. - Jordan Belfort."
131,"00:07:36,872","00:07:37,914",Done!
132,"00:07:38,040","00:07:39,625",Time to paint the tape.
133,"00:07:40,417","00:07:43,962","2,000. Microsoft. Going in the hole!"
134,"00:07:44,087","00:07:45,339",Come on.
135,"00:07:46,048","00:07:49,092","Live. Live. Hold on, that is hot."
136,"00:07:50,177","00:07:53,096",In. In. Shut that motherfucker. Shut it! Shut it! Shut it!
137,"00:07:53,221","00:07:54,306",Sold!
138,"00:08:12,616","00:08:13,742",Yeah.
139,"00:08:20,957","00:08:22,000",Tootski?
140,"00:08:22,834","00:08:24,503","Oh, no. Thank you, though."
141,"00:08:24,586","00:08:27,172","Mr. Hanna, what can I bring for you on this glorious afternoon?"
142,"00:08:27,255","00:08:29,966","Well, Hector, here's the game plan."
143,"00:08:30,050","00:08:32,511",You're gonna bring us two Absolut martinis.
144,"00:08:32,594","00:08:34,137",You know how I like them. Straight up.
145,"00:08:34,221","00:08:36,848","And then precisely seven and one half minutes after that,"
146,"00:08:36,932","00:08:38,266",you're gonna bring us two more.
147,"00:08:38,392","00:08:41,645",Then two more after that every five minutes
148,"00:08:41,728","00:08:43,939",until one of us passes the fuck out.
149,"00:08:45,190","00:08:46,650","Excellent strategy, sir."
150,"00:08:46,775","00:08:48,568",I'm good with water for now.
