number_of_dialog,start_time,end_time,dialog
103,"00:11:20,268","00:11:23,480",Now why you all kicking it like that?
104,"00:11:23,521","00:11:25,363","What's up, man?"
105,"00:11:25,398","00:11:28,360",What you scared for? I ain't gonna do nothing.
106,"00:11:35,575","00:11:37,452",What's up?
107,"00:11:37,494","00:11:41,164","Want some, too, bitch? Punk, what's wrong with you?"
108,"00:11:41,206","00:11:42,624",You want to die?
109,"00:11:44,459","00:11:46,002",Punk-ass white boy.
110,"00:11:52,759","00:11:56,721",You lucky I gotta go to class. He ain't gonna do nothing.
111,"00:11:56,763","00:11:59,641",He don't wanna see me and the heater.
112,"00:12:01,393","00:12:02,644",Lucky the bell rung.
113,"00:12:02,686","00:12:04,562",I would have clocked that white boy.
114,"00:12:04,604","00:12:07,399",Punk-ass motherfucker. Should smoke that fool.
115,"00:12:08,441","00:12:10,902",You gotta fucking stand up for yourself.
116,"00:12:26,584","00:12:28,670",We got a whole file on skinheads here.
117,"00:12:28,712","00:12:30,171",Part of the same gang?
118,"00:12:30,213","00:12:31,381",Venice Beach gang.
119,"00:12:31,423","00:12:34,884","Actually, he's done a stretch at Y.A."
120,"00:12:34,926","00:12:37,804","This guy C.C., is that him?"
121,"00:12:37,846","00:12:39,889","Yeah, that's him right there."
122,"00:12:41,474","00:12:43,977","This morning we have a guest, and there he is."
123,"00:12:44,019","00:12:45,186",Good morning.
124,"00:12:45,228","00:12:46,396","Morning, sir."
125,"00:12:46,438","00:12:47,772",Good to see you.
126,"00:12:47,814","00:12:48,982",Good morning.
127,"00:12:49,024","00:12:51,067",This here is Dr. Bob Sweeney.
128,"00:12:51,109","00:12:53,570",He's principal over at Venice Beach High.
129,"00:12:53,611","00:12:56,031","For some time now, he's been doing outreach work..."
130,"00:12:56,072","00:12:58,491",with gangs both in and out of the can.
131,"00:12:58,533","00:13:01,453","Three years ago, a local kid named Derek Vinyard..."
132,"00:13:01,494","00:13:03,580",was sent up for murdering a couple of Crips...
133,"00:13:03,621","00:13:05,790",who were trying to jack his car.
134,"00:13:05,832","00:13:09,461","Bob taught Vinyard, and he's followed this case closely."
135,"00:13:09,502","00:13:11,803","He was a skinhead, right?"
136,"00:13:11,838","00:13:14,382","He was more like ""the"" skinhead..."
137,"00:13:14,424","00:13:16,593",the protégé of Cameron Alexander.
138,"00:13:16,635","00:13:19,220",- Who? - Cameron Alexander.
139,"00:13:19,262","00:13:22,265",Here you go. Have a look-see.
140,"00:13:22,307","00:13:26,061","Cameron Alexander, well, he's a Venice Beach landmark."
141,"00:13:26,102","00:13:27,896",He's the biggest distributor and writer...
142,"00:13:27,937","00:13:30,398",of White Power literature and videos in L.A. County.
143,"00:13:30,440","00:13:33,526","He promotes White Power bands, he writes reviews..."
144,"00:13:33,568","00:13:36,655","and in his spare time, this guy even writes hate columns."
145,"00:13:36,696","00:13:39,491",- Does he have a record? - He's pretty clean.
146,"00:13:39,532","00:13:42,160","Been trying to pin something to him, but it doesn't work."
147,"00:13:42,202","00:13:44,829",Trust me. He's behind all of it.
148,"00:13:44,871","00:13:47,624",He runs everything out of his house by the beach.
149,"00:13:47,666","00:13:50,293",There were no white gangs in Venice Beach...
150,"00:13:50,335","00:13:52,587",before Cameron Alexander and Derek Vinyard hooked up.
151,"00:13:52,629","00:13:55,548",Alexander found in Derek his shining prince.
152,"00:13:55,583","00:13:58,468","Essentially, he used Derek to recruit..."
153,"00:13:58,510","00:14:02,472","a slew of insecure, frustrated, and impressionable kids."
154,"00:14:02,514","00:14:05,600","This kid Vinyard, he's got a lot of baggage..."
155,"00:14:05,642","00:14:09,604",as you'll see on this tape we've gotten courtesy of NBC.
156,"00:14:16,236","00:14:18,738","Earlier today, L.A. County firefighter Dennis Vinyard..."
157,"00:14:18,780","00:14:21,408",was shot and killed battling a blaze...
158,"00:14:21,449","00:14:23,326",at a suspected Compton drug den.
159,"00:14:23,368","00:14:25,203",We're at the Vinyard home now...
160,"00:14:25,245","00:14:27,163",and Lieutenant Vinyard's oldest son Derek...
161,"00:14:27,205","00:14:29,290",has agreed to talk with us for a moment.
162,"00:14:29,332","00:14:32,711","Derek, if you could come down here please for a second."
163,"00:14:32,752","00:14:37,757","Look, I know this is tough, but how do you feel right now?"
164,"00:14:37,799","00:14:40,260",How do you think I feel?
165,"00:14:40,302","00:14:43,228",- I think it's typical. - Typical how?
166,"00:14:43,263","00:14:46,891","Well, this country's becoming a haven for criminals..."
167,"00:14:46,933","00:14:48,393",so what do you expect?
168,"00:14:48,435","00:14:50,603",Decent hard-working Americans like my dad...
169,"00:14:50,645","00:14:53,648",are getting rubbed out by social parasites.
170,"00:14:53,690","00:14:55,025",Parasites?
171,"00:14:55,066","00:14:59,279","Blacks, browns, yellow, whatever."
172,"00:14:59,321","00:15:00,864",I don't understand.
173,"00:15:00,905","00:15:02,907",You think maybe your father's murder was race-related?
174,"00:15:02,949","00:15:04,868","Yeah, it's race-related."
175,"00:15:04,909","00:15:06,786",Every problem in this country is race-related.
176,"00:15:06,828","00:15:09,831","Not just crime. It's immigration, AIDS, welfare."
177,"00:15:09,866","00:15:12,834",Those are problems of the black community...
178,"00:15:12,876","00:15:14,669","the Hispanic community, the Asian community."
179,"00:15:14,711","00:15:16,087",They're not white problems.
180,"00:15:16,129","00:15:18,548",Aren't those really issues that deal more with poverty?
181,"00:15:18,590","00:15:22,427",No. They're not products of their environments.
182,"00:15:22,469","00:15:24,304",Minorities don't give two shits about this country.
183,"00:15:24,346","00:15:27,606","They come here to exploit it, not to embrace it."
184,"00:15:27,641","00:15:30,352",Millions of white Europeans came here and flourished...
185,"00:15:30,393","00:15:31,770",within a generation.
186,"00:15:31,811","00:15:34,189",What the fuck is the matter with these people?
187,"00:15:34,230","00:15:36,274",They have to go around shooting at firemen.
188,"00:15:36,316","00:15:39,277",What does this have to do with the murder of your father?
189,"00:15:39,319","00:15:41,738",Because my father was murdered doing his job!
190,"00:15:41,780","00:15:44,157",Putting out a fire in a fucking nigger neighborhood...
191,"00:15:44,199","00:15:45,992",he shouldn't have given a shit about.
192,"00:15:46,034","00:15:48,244",He got shot by a fucking drug dealer...
193,"00:15:48,286","00:15:50,747",who probably still collects a welfare check.
194,"00:15:50,789","00:15:53,708",Derek Vinyard was quietly released from Chino...
195,"00:15:53,750","00:15:57,045",early this morning after serving three and some odd years.
196,"00:15:57,087","00:15:59,839",I think this is something we gotta keep an eye on.
197,"00:15:59,881","00:16:01,466",If something happens to him...
198,"00:16:01,508","00:16:04,469",things could get very ugly down by the beach.
199,"00:16:04,511","00:16:05,845",Just keep it low.
200,"00:16:07,138","00:16:10,266",Venice Beach didn't always look like this.
201,"00:16:10,308","00:16:12,852",It used to be a great neighborhood.
202,"00:16:12,894","00:16:14,896",The boardwalk's always been a dump...
203,"00:16:14,938","00:16:17,107",but when my dad moved us out here...
204,"00:16:17,148","00:16:19,567","Venice was a nice, quiet place to grow up."
205,"00:16:21,569","00:16:24,197","Over the years, though, it's just gone to hell."
206,"00:16:24,239","00:16:26,199",The gangs are like a plague.
207,"00:16:26,241","00:16:29,536",They moved west from Inglewood and South Central...
208,"00:16:29,577","00:16:30,954",and basically took over.
209,"00:16:30,996","00:16:32,372",I ain't fouling you!
210,"00:16:39,546","00:16:42,007",I ain't got time for all this bullshit.
211,"00:16:42,048","00:16:43,425",Fuck y'all.
212,"00:16:43,466","00:16:44,592",You all right?
213,"00:16:44,634","00:16:45,802",I'm all right.
214,"00:16:47,345","00:16:50,307","Yo, is that that fool you was telling me about?"
215,"00:16:51,391","00:16:53,310","Yeah, that's that motherfucker."
216,"00:16:58,732","00:17:00,942","Yeah, man, that's him."
217,"00:17:10,201","00:17:12,037",Bitch-ass motherfucker.
218,"00:17:12,078","00:17:14,205",That's why Derek started the D.O.C.
219,"00:17:14,247","00:17:17,375",He said white kids shouldn't have to walk around scared...
220,"00:17:17,417","00:17:19,878","in their own neighborhood, and for a while there..."
221,"00:17:19,919","00:17:22,756",we really made it like it was ours again.
222,"00:17:22,797","00:17:25,383",Throw the ball!
223,"00:17:25,425","00:17:27,052","Come on, Curtis!"
224,"00:17:27,093","00:17:29,012",Quit chucking it up. Pass the ball.
225,"00:17:30,972","00:17:32,724","""D"" up!"
226,"00:17:32,766","00:17:34,100","Come on, let's go."
227,"00:17:34,934","00:17:36,686",Look at this fucking jungle bunny.
228,"00:17:36,728","00:17:39,522",He does a spin move every time.
229,"00:17:40,774","00:17:42,942","You ain't getting shit, motherfucker."
230,"00:17:44,569","00:17:46,738","This one's for you, boy!"
231,"00:17:46,780","00:17:47,989",What the fuck you-
232,"00:17:49,282","00:17:50,867","Who you calling boy, motherfucker?"
233,"00:17:50,909","00:17:52,118","You're lucky, motherfucker!"
234,"00:17:52,160","00:17:54,287",I'm through monkeying around with your fucking ass!
235,"00:17:54,329","00:17:56,956","Pale, pasty, pastrami-eating, cracker motherfucker."
236,"00:17:56,998","00:17:59,084",A hundred bucks say I make you my bitch.
237,"00:18:01,586","00:18:04,089",Hear that? He's trying to make ends meet...
238,"00:18:04,130","00:18:06,049",for his cut in welfare. You're on!
239,"00:18:07,842","00:18:09,094","It's eight-six, Seth."
240,"00:18:09,135","00:18:11,304","When I want your opinion, I'll ask for it."
241,"00:18:11,346","00:18:13,932",Come on. I can't cover this. Help me out here.
242,"00:18:13,974","00:18:15,704",You got a big fucking mouth.
243,"00:18:15,739","00:18:17,435",I can take this niglet down.
244,"00:18:17,477","00:18:19,980",You couldn't take a shit. What are you thinking?
245,"00:18:20,021","00:18:21,564",I will beat him. Give me the money.
246,"00:18:21,606","00:18:22,774",Shut up.
247,"00:18:22,816","00:18:24,651",You're gonna fucking embarrass us.
248,"00:18:32,784","00:18:34,828",I'll take care of this.
249,"00:18:34,869","00:18:36,830","Yo, I ain't got time for this."
250,"00:18:36,865","00:18:37,998",Hey!
251,"00:18:39,207","00:18:40,500",I got a bet.
252,"00:18:41,668","00:18:44,629",I come in this game right now. Same score...
253,"00:18:44,671","00:18:47,173",but we play black guys against the white guys.
254,"00:18:52,429","00:18:54,514","Name your price, cracker."
255,"00:18:54,556","00:18:56,933",No money. For these courts.
256,"00:18:56,975","00:18:58,852",And not just today. For good.
257,"00:18:58,893","00:19:00,979","If you win, we will walk away..."
258,"00:19:01,021","00:19:04,899","but if we win, no bitching, no fighting."
259,"00:19:04,941","00:19:07,944","Right here in front of everybody, pack up your shit..."
260,"00:19:07,986","00:19:09,988",and get your black asses out of here.
261,"00:19:10,030","00:19:11,698",Fuck that. Take this bet.
262,"00:19:11,740","00:19:13,241",Eight to six. Our ball.
263,"00:19:13,283","00:19:14,993",Let's go.
264,"00:19:30,383","00:19:31,843",Pick him up!
265,"00:19:38,892","00:19:40,935","Seth, get back and play some ""D."""
266,"00:19:57,077","00:19:58,244",Defense!
267,"00:20:06,378","00:20:08,672",Pass the fucking ball! I was wide open!
268,"00:20:24,104","00:20:25,438",Bullshit. That's fucking offense.
269,"00:20:25,480","00:20:27,232",Get out of here. He moved his feet.
270,"00:20:27,273","00:20:30,276","You want to go, I'm ready! Don't throw elbows at me!"
271,"00:20:30,318","00:20:32,696","You want to go, Adolf Hitler wannabe motherfucker?"
272,"00:20:43,999","00:20:46,626",- You OK? - Yeah. Give me some water.
273,"00:20:46,668","00:20:48,753",You gotta call offense on that shit.
274,"00:20:48,795","00:20:50,588","Not on game point, Danny."
275,"00:20:50,630","00:20:52,799",You can't let those niggers get away with that shit.
276,"00:20:52,841","00:20:54,009",It's game point.
277,"00:20:54,050","00:20:55,760",Shut 'em down. Kick some ass.
278,"00:20:55,802","00:20:58,138",Watch this.
279,"00:21:51,691","00:21:52,984",Bye-bye.
280,"00:21:53,026","00:21:54,861",Get the fuck off my court!
281,"00:21:54,903","00:21:56,154",This is my house!
282,"00:21:56,196","00:21:57,530","Fuck you, bitch!"
283,"00:22:09,542","00:22:11,503",Get the fuck out of here!
284,"00:22:11,544","00:22:13,046",This is my court!
285,"00:22:23,306","00:22:26,017",Derek wouldn't let us visit him in prison.
286,"00:22:26,059","00:22:28,770",He said it would make it just too hard for him...
287,"00:22:28,812","00:22:31,856","and that if we came, he wouldn't see us anyhow."
288,"00:22:31,898","00:22:34,693","Three years without him, just wondering."
289,"00:22:37,278","00:22:39,864",And then at 7:00 this morning...
290,"00:22:39,906","00:22:42,534",we picked him up outside the gate.
291,"00:22:48,832","00:22:51,793","The whole ride back, he didn't say anything."
292,"00:22:51,835","00:22:53,336","I wanted to stay home, but he said..."
293,"00:22:53,378","00:22:55,046","""No. Go to school. I'll see you later."""
294,"00:23:09,561","00:23:12,404","Oh, come on. Give the guy a break."
295,"00:23:12,439","00:23:15,358","What? You too big to give me a hug, tough guy?"
296,"00:23:15,400","00:23:17,444","No, man. I just know you're gonna need someone..."
297,"00:23:17,485","00:23:19,362",to look after you while you adjust to all this space.
298,"00:23:19,404","00:23:20,613","Yeah, right."
299,"00:23:22,240","00:23:24,409",This place is smaller than the old living room.
300,"00:23:24,451","00:23:26,119",How you doing? How's school?
301,"00:23:26,161","00:23:27,746",It's good.
302,"00:23:27,787","00:23:29,789",You gotta do something about that hair.
303,"00:23:29,831","00:23:31,291",That do's has gotta go.
304,"00:23:31,333","00:23:33,918","- The girls like it. - Well, I don't."
305,"00:23:33,960","00:23:37,380",You're keeping it pretty close. You took it all the way down.
306,"00:23:38,340","00:23:40,383","Shit. Look. I forgot, man."
307,"00:23:41,635","00:23:43,887",It hurt like shit when they put it on.
308,"00:23:43,928","00:23:45,847",When'd you get that?
309,"00:23:45,889","00:23:48,099",I got it about a month ago.
310,"00:23:48,141","00:23:49,851",Cameron made it official.
311,"00:23:53,813","00:23:55,523",He put this on you?
312,"00:24:01,529","00:24:02,656",What?
313,"00:24:02,697","00:24:04,761","Oh, hi. He's here."
314,"00:24:04,796","00:24:06,826","Derek, it's for you."
315,"00:24:06,868","00:24:09,245",Nothing.
316,"00:24:09,287","00:24:12,123",Is there a phone in the back? I'll get it in the back.
317,"00:24:20,215","00:24:23,259",I got it. Yeah?
318,"00:24:23,301","00:24:24,427","Oh, hey."
319,"00:24:27,055","00:24:28,598",What?
320,"00:24:28,640","00:24:31,142",My eyes have seen the glory...
321,"00:24:31,184","00:24:33,228",of the trampling at the zoo.
322,"00:24:33,269","00:24:36,272",We've washed ourselves in nigger's blood...
323,"00:24:36,314","00:24:38,817","and all the mongrels, too."
324,"00:24:38,858","00:24:41,569",We're taking down the Zog machine...
325,"00:24:41,611","00:24:43,697",Jew by Jew by Jew.
326,"00:24:43,738","00:24:47,666",The white man marches on.
327,"00:24:47,701","00:24:50,704",You think our friend was behind that?
328,"00:24:52,205","00:24:53,748",I don't even care.
329,"00:24:53,790","00:24:55,959",I'm gonna take care of that tonight.
330,"00:24:56,001","00:25:00,046",My sweet kids. My baby boy.
331,"00:25:00,088","00:25:02,966","God, what's with the love fest, you guys?"
332,"00:25:08,054","00:25:11,516",No. He'll do it. I'll make sure he does it.
333,"00:25:11,558","00:25:13,184",I'll get it.
334,"00:25:20,066","00:25:21,735",I came to see the man.
335,"00:25:21,776","00:25:25,071",- Can you fit through the door? - Fuck you!
336,"00:25:27,032","00:25:29,534","What's up, Dan? How you doing?"
337,"00:25:29,576","00:25:32,078",- Where's Derek? - He's on the phone.
338,"00:25:32,120","00:25:35,498","Come out, you free motherfucker! Where the fuck are you?"
339,"00:25:35,540","00:25:38,835",Hang on. Give me a minute.
340,"00:25:39,961","00:25:41,921",I'll be out in a minute.
341,"00:25:56,478","00:25:57,854",I'll be careful.
342,"00:25:57,896","00:26:01,650",I'm not gonna stay in my room the rest of my life.
343,"00:26:01,691","00:26:03,485",Hold on.
344,"00:26:03,526","00:26:06,946",Hey. What the fuck is Seth doing here?
345,"00:26:06,988","00:26:08,823",Did you invite him over?
346,"00:26:08,865","00:26:11,034",No. He always comes over here.
347,"00:26:12,661","00:26:15,080","Danny, give me a minute."
348,"00:26:15,121","00:26:17,290",Just give me one minute.
349,"00:26:36,977","00:26:38,979","Are you still here, Goodyear?"
350,"00:26:40,397","00:26:43,316","You calling me a blimp, you fucking Democrat?"
351,"00:26:44,484","00:26:47,821",When was the last time you were actually able to see your feet?
352,"00:26:50,532","00:26:52,117","Come in here, Danny."
353,"00:26:56,955","00:26:59,332",Are you going to Cam's party tonight?
354,"00:26:59,367","00:27:01,668",Is Davina's ass watertight?
355,"00:27:01,710","00:27:03,586","You're fucking sick, man."
356,"00:27:03,628","00:27:06,631","All right, relax. Let me ask you a few questions."
357,"00:27:06,673","00:27:08,925",I'm not in the mood. I got homework.
358,"00:27:08,967","00:27:11,803","Tell me some of the shit you've learned, fuck-ass..."
359,"00:27:11,845","00:27:13,471",before I pistol-whip you.
360,"00:27:13,513","00:27:16,599","OK. I believe in death, destruction..."
361,"00:27:16,641","00:27:18,810","chaos, filth, and greed."
362,"00:27:18,852","00:27:22,605","Cut the shit, Dan. Come on. Tell me what I want to hear."
363,"00:27:23,690","00:27:25,650",You mean that shit about your mother?
364,"00:27:25,692","00:27:28,528","You want to get fucking beaten, Danny?"
365,"00:27:30,196","00:27:33,658",I'm not fucking talking to you. Shut up.
366,"00:27:33,700","00:27:36,411","Look, you gotta let me do this my own way, all right?"
367,"00:27:38,163","00:27:39,831",I'll take care of it.
