,precision,recall,f1-score,support
0,0.8353909465020576,0.8864628820960698,0.8601694915254238,229.0
1,0.5666666666666667,0.4594594594594595,0.5074626865671642,74.0
accuracy,0.7821782178217822,0.7821782178217822,0.7821782178217822,0.7821782178217822
macro avg,0.7010288065843622,0.6729611707777646,0.683816089046294,303.0
weighted avg,0.7697619144630513,0.7821782178217822,0.7740298757930436,303.0
